Séance,ISIN.,Val.,Ouv.,Clô.,+ haut,+ bas,CMP,Nb. Tr.,Qté,Cap.
04/02/2026,TN0007610017,SAH,14.3,14.39,14.39,14.2,14.277,87,17374,248042.66
04/02/2026,TN0005700018,POULINA GP HOLDING,21.25,21.17,21.25,20.89,21.059,53,11499,242161.02
04/02/2026,TN0007530017,ONE TECH HOLDING,8.89,8.89,8.9,8.87,8.886,41,9858,87595.37
04/02/2026,TN0007620016,MPBS,8.37,8.3,8.37,8.25,8.284,10,791,6552.58
04/02/2026,TN0001000108,MONOPRIX,6.25,5.95,6.25,5.95,5.957,4,420,2502
04/02/2026,TN0006720049,BH LEASING,0,0,0,0,0,0,0,0
04/02/2026,TN0006440010,MAGASIN GENERAL,10,10,10,10,10,3,200,2000
04/02/2026,TN0007310139,HANNIBAL LEASE,7.21,7.21,7.21,7.21,7.21,5,460,3316.6
04/02/2026,TN0007570013,EURO-CYCLES,11.69,11.69,11.79,11.6,11.694,47,5863,68560.85
04/02/2026,TN0007210016,ESSOUKNA,3.81,3.8,3.81,3.7,3.783,42,2628,9941.67
04/02/2026,TN0007410012,ENNAKL AUTOMOBILES,15.13,15.5,15.5,15.13,15.363,19,1284,19725.62
04/02/2026,TN0007670011,DELICE HOLDING,14.5,14.59,14.65,14.43,14.541,87,14151,205771.97
04/02/2026,TN0007550015,CITY CARS,22.4,22.6,22.6,22.32,22.438,36,3289,73797.23
04/02/2026,TN0007350010,CIMENTS DE BIZERTE,0.48,0.48,0.48,0.48,0.48,2,2300,1104
04/02/2026,TN0004200853,CIL,32.25,32.3,32.84,32.25,32.267,14,8365,269915.34
04/02/2026,TN0007590011,CELLCOM,2.7,2.75,2.75,2.7,2.717,99,13410,36438.35
04/02/2026,TN0002200053,BT,6.75,6.93,6.93,6.75,6.847,138,71282,488065.37
04/02/2026,TN0003100609,BNA,13.44,13.44,13.48,13.17,13.344,96,11368,151689.58
04/02/2026,TN0001800457,BIAT,128.49,129.5,129.9,128.49,129.418,46,1812,234505.99
04/02/2026,TN0001900604,BH BANK,10.2,9.84,10.24,9.76,9.885,5,151,1492.64
04/02/2026,TN0006610018,ATTIJARI LEASING,30,29.76,30,29.76,29.984,8,758,22727.52
04/02/2026,TN0001600154,ATTIJARI BANK,67.9,68.5,68.5,66.1,66.492,76,19678,1308423.03
04/02/2026,TN0004700100,ATL,7.68,7.7,7.7,7.57,7.698,59,27961,215245.56
04/02/2026,TN0007740012,ATELIER MEUBLE INT,4.37,4.22,4.38,4.21,4.325,37,33849,146400.86
04/02/2026,TN0003600350,ATB,3.65,3.65,3.65,3.6,3.601,8,4672,16823
04/02/2026,TN0007140015,ASSAD,3.33,3.33,3.33,3.33,3.33,35,28775,95820.75
04/02/2026,TN0007830011,ASSUR MAGHREBIA,59.6,59.6,59.6,59.6,59.6,11,965,57514
04/02/2026,TN0007300015,ARTES,12.4,12.64,12.67,12.4,12.467,3,94,1171.87
04/02/2026,TNDKJ8O68X14,ASSU MAGHREBIA VIE,7.41,7.51,7.52,7.4,7.464,16,5123,38240.51
04/02/2026,TN0003400058,AMEN BANK,55.3,55.8,56,55.2,55.611,106,9625,535255.35
03/02/2026,TN0005030010,STIP,0,0,0,0,0,0,0,0
03/02/2026,TN0007600018,SOTEMAIL,0,0,0,0,0,0,0,0
03/02/2026,TN0007650013,TAWASOL GP HOLDING,0.8,0.8,0.8,0.8,0.8,40,57530,46024
03/02/2026,TN0007730013,SANIMED,0,0,0,0,0,0,0,0
03/02/2026,TN0007700016,OFFICEPLAST,2.05,2.12,2.12,2.05,2.102,95,47953,100783.8
03/02/2026,TN0007540016,NEW BODY LINE,0,0,0,0,0,0,0,0
03/02/2026,TN0007510019,LAND OR,15.5,15.5,15.75,15.44,15.515,17,1465,22729.81
03/02/2026,TN0007400013,CARTHAGE CEMENT,1.87,1.87,1.89,1.86,1.871,51,45586,85276.76
03/02/2026,TN0007500010,AETECH,0,0,0,0,0,0,0,0
